219	-150	322	52	15
219	-150	280	122	40
219	-75	280	57	74
150	0	280	9	193
75	0	280	41	259
0	0	280	70	319
0	0	260	85	314
0	0	0	221	249	
0	91	0	190	250
253.4	42.6	0	158	125
-177	0	0	242	324
-177	0	260	137	421
-83.7	-265	195	312	345
-169.7	-304.9	0	378	321
152.5	-471.7	280	631	38
77.5	-471.7	280	565	222
77.5	-471.7	322	610	248
2.5	-471.7	280	519	345
2.5	-471.7	322	543	396
-72.5	-471.7	280	486	431
